name,registration_number
@NGELIC,PS20190001766
18 KARAATS LLP,PS20190001785
1ST GRAND PALACE PTE. LTD.,PS20190001233
1ST JEWELLERY & WATCHES PTE. LTD.,PS20190000264
1ST JEWELLERY (CITY PLAZA) PTE. LTD.,PS20190000261
1ST JEWELLERY (FU LU SHOU) PTE. LTD.,PS20190000151
1ST JEWELLERY (GEYLANG) PTE. LTD.,PS20190000828
1ST JEWELLERY (PPC) PTE. LTD.,PS20190000260
2MOT HOLDING PTE. LTD.,PS20190001605
313 GREEN COLLECTION LLP,PS20190001770
33 CRYSTALS PTE. LTD.,PS20190001007
3N JEWELS PTE. LTD.,PS20190000721
4'C DIAMONDS PTE LTD,PS20190000655
4DOUBLEO PTE. LTD.,PS20190001317
57SOCIETY SINGAPORE PTE. LTD.,PS20190000901
9 LUCKY SHOP PTE. LTD.,PS20190001321
919 NINE ONE NINE,PS20190000221
A BRILLIANT CO SG (PRIVATE) LIMITED,PS20190001480
A JEWELLERY,PS20190000618
A R JEWELLERS PTE. LTD.,PS20190001773
A YSH LLP,PS20190001143
A.K WATCHES ENTERPRISE,PS20190000413
A.P. JEWELLERY PTE LTD,PS20190000420
AA GOLDSMITH PTE. LTD.,PS20190000282
AADYAA SINGAPORE,PS20190000038
ABARA PTE. LTD.,PS20190001380
ABIRAAME JEWELLERS,PS20190001279
ABIRAAME POPULAR JEWELLERS(S) PTE. LTD.,PS20190001165
ABIRRAME NAGAI KADAIS,PS20190001391
ABLE N TRUST (S),PS20190001144
ABSOLUT SILVER,PS20190001222
ABU GEMS,PS20190000802
ACTIVE JEWELLERY TRADER,PS20190000320
ADAH,PS20190000296
ADALINE & AGAMEMNON PTE. LTD.,PS20190000596
ADVANCE DIAMOND TRADING,PS20190000597
ADVENTURE GOLD ORNAMENTS MANUFACTURE AND RE EXPORTS PTE. LTD.,PS20190000779
AESTHETIC BAY PTE. LTD.,PS20190001637
AFGHAN MALAYA TRADING CO. PTE. LTD.,PS20190000488
AFRA GEMS,PS20190000299
AI JEWELLERY,PS20190000485
AICORP INTERNATIONAL PTE. LTD.,PS20190001664
AIK HONG GOLDSMITH,PS20190001359
AIK LEE JEWELLERY,PS20190001533
AINE JEWELLERY (S) PTE LTD,PS20190000733
AKJEWELS PTE. LTD.,PS20190001671
AKSHAYA JEWELLERS PTE. LTD.,PS20190001604
AL AKSA GEMS,PS20190000640
AL ARAB JEWELLERS PTE. LTD.,PS20190000691
AL ARAFATH JEWELLERS PTE. LTD.,PS20190000692
AL FINE GEMS,PS20190000705
ALADDIN'S JEWELS & APPARELS PTE. LTD.,PS20190001075
ALETA CHARM JEWELLERY AND DESIGN,PS20190001151
ALEX AND ANDREA,PS20190000039
ALEXANDRA ALBERTA PTE. LTD.,PS20190001757
ALEXON TRADING (S) PTE LTD,PS20190000951
ALICE CLAUDINE GROUP PTE. LTD.,PS20190000813
ALL ABOUT JADE,PS20190000014
ALL WATCHES PTE LTD,PS20190000727
ALPHA ARROW PTE. LTD.,PS20190000944
ALTO GIOIELLI,PS20190001729
AMANDA W. JEWELLERY,PS20190000356
AMAZON LEATHERS GOODS,PS20190001621
AMDIA PTE. LTD.,PS20190001735
AMETHYISM,PS20190001543
AMETRINE JEWELLERY (1996) PTE. LTD.,PS20190000300
AMULET CULTURE,PS20190001237
AMULETSPEDIA,PS20190001412
AMULETSTHAI,PS20190000903
AN ORDER OF BLING,PS20190000387
ANANDA SOUL PTE. LTD.,PS20190000923
ANGELAURORA LLP,PS20190001168
ANGIE JEWELLERY PTE LTD,PS20190000258
ANGLO PLATINUM MARKETING LIMITED SINGAPORE BRANCH,PS20190000898
ANI MANI PORCHALAI PTE LTD,PS20190000348
ANIDEA J,PS20190000471
ANITA MANGLANI JEWELRY PTE. LTD.,PS20190000021
ANK JEWELLERY PTE. LTD.,PS20190000630
ANN HWEE JEWELLERS & MANUFACTURERS,PS20190001135
ANROM TRADING,PS20190001307
ANSARI GEMS,PS20190000513
ANTEX INTERNATIONAL PTE LTD,PS20190000512
APERKY,PS20190000016
APJ JUWELLER PTE. LTD.,PS20190001711
APM RETAIL (SINGAPORE) PTE. LTD.,PS20190001431
APOLLO GOLDSMITHS PTE. LTD.,PS20190000005
APPLEBAY LEISURE,PS20190001425
ARGENTUM,PS20190000098
ARIELLE FINE WATCHES AND JEWELLERY PTE. LTD.,PS20190001204
ARIHANT JEWELLERS PTE. LTD.,PS20190000879
ARRAYA'S TREASURES,PS20190001102
ARROW ASIA PTE. LTD.,PS20190001791
ARTE ORO PTE. LTD.,PS20190001716
ARTEMIS RINGS PTE. LTD.,PS20190000664
ARTESA DIAMOND & GEMS,PS20190001209
ARTHESDAM JEWELLERY PTE LTD,PS20190001023
ARTISAN ARTELIER,PS20190001276
ARTISAN JEWELLERY (PTE.) LTD.,PS20190001216
ARYA IMPEX PTE. LTD.,PS20190000685
ASHOKA GLOBAL SG PTE. LTD.,PS20190000869
ASIA AFRICA DIAMOND AND JEWELLERY,PS20190000112
ASIA TIMEPIECE CENTRE,PS20190000146
ASIAN ARTISTRY FINE JEWELLERY PTE. LTD.,PS20190001038
ASIAN ARTS & CRAFTS,PS20190001484
ASIAN LEGENDS,PS20190001772
ASIATIQUE FINE JEWELLERY (S) PTE LTD,PS20190000115
ASK JEWELLERY PTE. LTD.,PS20190000177
ASPARA JEWELRY PTE. LTD.,PS20190000116
ASPIAL INTERNATIONAL PTE LTD,PS20190001471
ASPIAL-LEE HWA JEWELLERY PTE. LTD.,PS20190000326
ASPIAL-LEE HWA JEWELLERY SINGAPORE PTE. LTD.,PS20190001309
ASPORY PTE. LTD.,PS20190001741
ATELIER ONE PTE LTD,PS20190001291
ATHENA JEWELS & WATCHES PTE. LTD.,PS20190000167
AUAG INDUSTRIES,PS20190000198
AUCTUS METAL PORTFOLIOS PTE. LTD.,PS20190000803
AUDEMARS PIGUET (SINGAPORE) PTE LTD,PS20190001223
AURA IMAGE CONSULTANCY,PS20190000652
AUSTINMIMY GENERAL TRADERS PTE. LTD.,PS20190001052
AUTIUM PTE. LTD.,PS20190000617
AV PRECIOUS METAL PTE. LTD.,PS20190000267
AVILA CATHOLIC SHOP SINGAPORE,PS20190000941
AVYANNA PTE. LTD.,PS20190001563
AZEN,PS20190001068
B.J. DIAMONDS PTE. LTD.,PS20190000077
B.P. DE SILVA JEWELLERS PTE. LTD.,PS20190001149
BA TIME VENTURE,PS20190000273
BAABULMAS PTE LTD,PS20190000841
BABAA FARID G.S.R. GEMS & JEWELLER,PS20190000067
BACTERIA SECRET,PS20190001528
BAILONG (S) PTE LTD,PS20190001592
BALL WATCH SINGAPORE PTE. LTD.,PS20190001155
BALLY JEWELLERY (SINGAPORE) PTE. LTD.,PS20190000461
BALMO BALTANG FINE JEWELRY,PS20190000432
BAN CHEONG JEWELLERS (PRIVATE) LIMITED,PS20190000318
BAN FOOK JEWELLERY PTE. LTD.,PS20190000895
BANT INTERNATIONAL PTE. LTD.,PS20190001351
BAO HUA GU WAN YU QI HANG,PS20190000165
BAO JEWELLERY,PS20190000362
BAO SHENG JEWELLERY & ORNAMENTS PTE. LTD.,PS20190000680
BAOBAO,PS20190001110
BARAMEE PHRA,PS20190000908
BASS JEWELLERY PTE. LTD.,PS20190001493
BATU PAHAT GOLDSMITH PTE. LTD.,PS20190000155
BAVI GEMS PTE. LTD.,PS20190000516
BD LUXURY PTE. LTD.,PS20190000720
BEADS WORKSHOP,PS20190000999
BEADS.ETC LLP,PS20190001266
BEAU PTE. LTD.,PS20190000842
BEAUTIFUL DIAMOND PTE LTD,PS20190000956
BEAUTY WATCH PTE. LTD.,PS20190000557
BEAUTY WORLD NAM SENG GOLDSMITH,PS20190000870
BEJWL,PS20190000575
BELKIS,PS20190001311
BELKIS IMAN LLP,PS20190001750
BELLAGRAPH SG PTE. LTD.,PS20190000921
BELMONT JEWELLRY PTE. LTD.,PS20190000194
BELPEARL (S) PTE LTD,PS20190001732
BENLENE SINGAPORE,PS20190001540
BENNY DIAMOND,PS20190000530
BENNY'S GEMS CREATIONS CO PTE LTD,PS20190001386
BEZEL'S JEWELLERY,PS20190000703
BHG (SINGAPORE) PTE. LTD.,PS20190001272
BID GLOBAL PTE. LTD.,PS20190001381
BILLION GOLD JEWELLERY,PS20190000536
BINBIN PRIVATE LIMITED,PS20190000982
BISSU INTERNATIONAL FINE GEMS PTE. LTD.,PS20190000469
BITS N PIECES TRADING,PS20190000373
BIYU BULLION PTE. LTD.,PS20190001164
BLACKFRANGIPANI PTE. LTD.,PS20190000753
BLEUE PTE. LTD.,PS20190000734
BLIING PTE. LTD.,PS20190000677
B'LIV JEWELLERY,PS20190000899
BLUE DIAMONDS JEWELLERY PTE. LTD.,PS20190001014
BLU-VISH PTE. LTD.,PS20190001203
BOISSY SINGAPORE PTE LTD,PS20190000591
BONFIELD PRIVATE LIMITED,PS20190001599
BOON CHAI JEWELLERY,PS20190000396
BOON GUAN GOLDSMITH,PS20190000464
BOON LAY GEMS PTE LTD,PS20190000846
BOON LAY GOLDSMITHS & JEWELLERS PTE LTD,PS20190000900
BOON ONN JEWELLERS,PS20190000651
BOUDICA JEWELLERY,PS20190000679
BP GOLD & JEWELLERY,PS20190000452
BR METALS EXCHANGE PTE. LTD.,PS20190000661
BR METALS PTE. LTD.,PS20190000650
BRIDGEMAN PTE LTD,PS20190000831
BRIGHT VISION TRADING INVESTMENTS PTE. LTD.,PS20190001184
BRIGHTIME TRADING ENTERPRISE,PS20190000032
BRIILLARE,PS20190000325
BRILLIANT CRAFT PTE LTD,PS20190001355
BRILLIANT OPALS JEWELLERY,PS20190000087
BRILLIANTIME PTE LTD,PS20190001786
BRONZE AGE,PS20190000124
BUCK CHUA TRADING,PS20190000939
BUKIT TIMAH HENG HENG GOLDSMITH & JEWELLERS (PTE) LTD,PS20190001218
BULGARI SOUTH ASIAN OPERATIONS PTE LTD,PS20190000329
BULLION CAFE PTE. LTD.,PS20190001157
BULLION HARVEST PTE. LTD.,PS20190000856
BULLIONSTAR PTE. LTD.,PS20190000957
BUNKER GROUP PTE. LTD.,PS20190000724
BY WAY ASTROLOGY,PS20190001749
BYSELL COMPANY PTE LTD,PS20190000450
C. T. HOO PTE. LTD,PS20190000767
C.K. TANG LIMITED,PS20190000897
C.S.TIMEPIECE & JEWELLERY,PS20190001576
CACHE PRIVATE LIMITED,PS20190001508
CAI JI JADE AND GEMS HANDICRAFT,PS20190001679
CANDICE JEWELLERY,PS20190000360
CANOPUS MANAGEMENT PTE. LTD.,PS20190001658
CARAT 55 PTE. LTD.,PS20190001011
CARATELL PTE. LTD.,PS20190000117
CARATERS PTE. LTD.,PS20190001673
CASAPURI PTE. LTD.,PS20190001078
CASH BOX JEWELLERY (WEST COAST) PTE. LTD.,PS20190000175
CASH BOX JEWELLERY PTE. LTD.,PS20190000164
CASHVALUE ENTERPRISE PTE. LTD.,PS20190000866
CASSIE JEWELLERY,PS20190000710
CATENA PRIVATE LIMITED,PS20190001612
CAYEJEWELS,PS20190000437
CCQ,PS20190000201
CENTIME PTE. LTD.,PS20190000966
CENTRAL PRECIOUS METALS PTE LTD,PS20190000061
CHAKRA LUXE PTE. LTD.,PS20190000095
CHALERAN MONGKOL,PS20190001796
CHAMPIONTIME GALLERY PTE. LTD.,PS20190001295
CHAN FOON JADE & JEWELLERY,PS20190000402
CHAN KWONG KEE JEWELLERY EQUIPMENT PTE. LTD.,PS20190001146
CHAN WAI JEWELLERY WORKS,PS20190000022
CHARIS GEMS PTE. LTD.,PS20190001666
CHARM DESIGN,PS20190000477
CHAU WAN (KDBFS) GOLDSMITH & JEWELLERY,PS20190000854
CHENG MING HOO JEWELLERY,PS20190000315
CHENNAI GOLDSMITH & JEWELLERY PTE. LTD.,PS20190000171
CHERRY GEMS PTE. LTD.,PS20190001560
CHI YING JEWELLERY,PS20190001087
CHIA HENG TRADING,PS20190000308
CHIN CHEONG GOLDSMITH,PS20190000295
CHIN HENG GOLDSMITH PRIVATE LIMITED,PS20190000036
CHINA ANTIQUE CITY,PS20190001556
CHINA JIA LONG TRADING,PS20190001119
CHIONG KEE TRADING COMPANY,PS20190000128
CHIP LEE JEWELLERY PTE. LTD.,PS20190000106
CHIVALRY JEWELLERY,PS20190001594
CHJ JEWELLERY PTE. LTD.,PS20190000002
CHOCOLATE GEMS,PS20190001491
CHOMEL PTE LTD,PS20190001635
CHONG LEE JEWELLERY TRADING,PS20190000321
CHONG SENG ENTERPRISES (PRIVATE) LIMITED,PS20190000388
CHONGMAN TRADING,PS20190001371
CHOO YILIN ARTISAN JEWELLERY PTE. LTD.,PS20190001782
CHOPARD (ASIA) PTE LTD,PS20190000230
CHOW SANG SANG JEWELLERY COMPANY LIMITED,PS20190001771
CHOW TAI FOOK JEWELLERY SINGAPORE PTE. LTD.,PS20190001172
CHRIS GOLDSMITH & JEWELLERS,PS20190001350
CHRISSIE JEWELLERY,PS20190001054
CHRISTIAN DIOR SINGAPORE PTE LTD,PS20190001482
CHRISTONG JEWELLERY,PS20190000381
CHRISTOPHE JEWELLERY PTE. LTD.,PS20190000791
CHRONO EXCHANGE WATCHES & JEWELLERY PTE. LTD.,PS20190000467
CHRONO GALLERY NINE,PS20190000924
CHRONO95 PTE. LTD.,PS20190000429
CHRONOSWISS ASIA PTE LTD,PS20190000435
CHUAN JEWELLERY,PS20190000408
CHUAN WATCH COLLECTION PTE. LTD.,PS20190000075
CHUAN WATCH ENTERPRISE,PS20190000091
CHUN KEI CRYSTAL JEWELLERY,PS20190000607
CHUNG HWA JADE & JEWELLERY CO,PS20190000353
CIEL JEWELS PTE. LTD.,PS20190000020
CITIZEN WATCHES (H.K.) LIMITED,PS20190000949
CITY LINK ENTERPRISE,PS20190001199
CJ CREATIONS,PS20190000909
CJ DIAMONDS MANUFACTURERS,PS20190001176
CLASSIC JEWELLERY (W) PRIVATE LIMITED,PS20190001270
CLASSICAL WATCH,PS20190000293
CLAUDON GIFT & JEWELRY,PS20190001683
CLUB JEWEL CUSTOMIZED JEWELRY,PS20190000920
CMR GOLD & JEWELLERS (S) PTE. LTD.,PS20190001129
COLEMAR PTE. LTD.,PS20190001590
COLLECTIBLE TRADE GROUP PTE. LTD.,PS20190001058
COMMON MUSE,PS20190001448
CONFETTI BY MUI PTE LTD,PS20190000234
CONTINENTAL JEWELS MANUFACTURERS,PS20190000502
CORALICIOUS,PS20190001568
CORINNE JEWELLERY,PS20190001244
CORTINA WATCH PTE LTD,PS20190000770
CORUM WATCHES SINGAPORE PTE. LTD.,PS20190001419
CORUNDUM INTERNATIONAL,PS20190000367
COSMIC GEMSTONES PTE. LTD.,PS20190001755
COSMOS COMMERCIAL PTE. LTD.,PS20190001663
COUNTER POINT ENTERPRISE,PS20190000745
CRANE GOLD PTE. LTD.,PS20190000317
CREATIVE JEWELLERY STUDIO,PS20190001454
CREATIVE POT PTE LTD,PS20190001586
CROWN COLONY AUCTIONEERS,PS20190001277
CROWN JEWELS BULLION PTE. LTD.,PS20190000634
CROWN JEWELS PTE. LTD.,PS20190000635
CROWNS WATCH AND JEWELLERY PTE. LTD.,PS20190000712
CRYSTAL & KIM,PS20190001631
CRYSTAL GENESIS LLP,PS20190001665
CRYSTAL TIME (SINGAPORE) PTE. LTD.,PS20190000766
CRYSTAL VILLA PTE. LTD.,PS20190001650
CRYSTAL8787,PS20190001147
CRYSTALS CUBE PTE. LTD.,PS20190001638
CSK JEWELLERY & BULLION PTE. LTD.,PS20190001467
CSQUARE J,PS20190001036
CSY INTERNATIONAL PTE. LTD.,PS20190000804
CVOO PTE. LTD.,PS20190000246
CW JEWELS PTE. LTD.,PS20190001640
D' MAGNIFICENT PTE. LTD.,PS20190000312
D&D PEARL & JEWELLERY,PS20190001162
D.S.M. DIAMONDS PTE. LTD.,PS20190001006
DA HUA GU WAN GONG YI HANG PTE. LTD.,PS20190000042
DA KWONG JEWELLERY,PS20190000034
DAGIZ PTE. LTD.,PS20190001323
DAI KENG TRADING PTE. LTD.,PS20190000644
DAMIANI SINGAPORE PTE. LTD.,PS20190000799
DAMINI TRADING PTE. LTD.,PS20190000163
DANNY LOO,PS20190001345
DAROMAX,PS20190000330
DARTARGILE TRADING,PS20190000872
DCL GOLD HOUSE PTE. LTD.,PS20190001506
DE BEERS AUCTION SALES SINGAPORE PTE. LTD.,PS20190000787
DE JEWEL HUB,PS20190000912
DE LOVE PTE. LTD.,PS20190001325
DE PEARL,PS20190000289
DE STIJL PTE. LTD.,PS20190000303
DEEN JEWELLERS PTE. LTD.,PS20190000902
DEEPAK GEMS PTE. LTD.,PS20190001723
DEFRED JEWELLERS PTE. LTD.,PS20190000633
DEGEM PRESTIGE PTE. LTD.,PS20190001731
DEJEWEL GALLERIA PTE. LTD.,PS20190000399
DELACOUR ASIA PACIFIC PTE. LTD.,PS20190001376
DELASAS PTE LTD,PS20190000229
DELUX DIAMOND (S) PTE. LTD.,PS20190001696
DENNI INTERNATIONAL PTE LTD,PS20190001483
DEROCKS TRADING PTE LTD,PS20190000074
DESIJOAN RAINBOW JEWELLERY,PS20190000740
DESTINEE GEMS PTE. LTD.,PS20190000971
DFS VENTURE SINGAPORE (PTE) LIMITED,PS20190000427
DHANYA IMPEX PTE. LTD.,PS20190001700
DIA-GLOBE (SINGAPORE) PTE LTD,PS20190000732
DIAMANTI PER TUTTI SINGAPORE PTE. LTD.,PS20190001421
DIAMOND APPLE CO. PTE. LTD.,PS20190001402
DIAMOND ATELIERS,PS20190001441
DIAMOND CENTRE PTE LTD,PS20190000551
DIAMOND CRAFT PTE. LTD.,PS20190000601
DIAMOND GALLERY PTE. LTD.,PS20190001549
DIAMOND GOLD SILVER ENTERPRISE,PS20190000211
DIAMOND INDUSTRIES JEWELLERY COMPANY PTE. LTD.,PS20190001437
DIAMOND PALACE (S) PTE LTD,PS20190000674
DIAMOND SKY JEWELLERY PTE. LTD.,PS20190000604
DIAMONDLITE INTERNATIONAL PTE. LTD.,PS20190001177
DIAMUNDI PTE. LTD.,PS20190000991
DIANOCHE PTE. LTD.,PS20190000943
DIASQUA S'PORE PTE. LTD.,PS20190001522
DIASTAR PTE LIMITED,PS20190000883
DICKSON GOLDSMITH JEWELS,PS20190001280
DIGIX HOLDINGS PRIVATE LIMITED,PS20190001497
DIGIX PHYSICALS PTE. LTD.,PS20190001793
DIGIX TECHNOLOGIES PRIVATE LIMITED,PS20190001788
DIVINE GEMS & JEWELLERY PTE. LTD.,PS20190001582
DIVINE RAGA,PS20190001492
DJ GOLD PTE. LTD.,PS20190001428
DMY JEWELLERS PTE. LTD.,PS20190001126
DONALD MCARTHY TRADING PTE LTD,PS20190000024
DONG BAO YU YI,PS20190000977
DONG XI NAN PEI PTE. LTD.,PS20190000539
DORAY TRADING PTE LTD,PS20190001397
DOTE,PS20190001667
DRACO DIAMONDS PTE. LTD.,PS20190000162
DRAGO DESIGN PTE. LTD.,PS20190001427
DRAGON GEMS PTE. LTD.,PS20190000268
DRAGONWEI INTERNATIONAL,PS20190001214
DREAM BOX ACCESSORIES PTE. LTD.,PS20190000769
DREAM DIAMONDS PTE LTD,PS20190000526
DS+ PTE. LTD.,PS20190000235
DUALL PTE. LTD.,PS20190001659
DUO BAO XUAN,PS20190000874
DV JEWELLERY,PS20190000346
DYNASTY WATCH PTE LTD,PS20190001179
E & C FINE JEWELLERY LLP,PS20190000344
E & CO JEWELLERY PTE. LTD.,PS20190001308
E79 PRIVATE LIMITED,PS20190000319
EARNEST JEWELRY,PS20190001777
EAST CHEN CONSULTANCY,PS20190001639
EBRONZEAGE PTE. LTD.,PS20190000347
ECLARITY PTE. LTD.,PS20190000253
ECO RING SINGAPORE PTE. LTD.,PS20190000972
ECO-MASTERMELT PTE. LTD.,PS20190000298
ED BULLION PTE. LTD.,PS20190000952
EDDIE'S JEWELLERY DESIGN,PS20190000505
EFFICIENT JEWELLERY INDUSTRY PTE LTD,PS20190000790
E-GLOBAL RECOVERY PTE. LTD.,PS20190001263
EIGHTY EIGHT COMMODITIES PTE. LTD.,PS20190001422
EL.GEE CREATION,PS20190001084
ELEGANCE GOLD & JEWELLERY,PS20190000222
ELEGANCE REPTILE HOUSE PTE LTD,PS20190001426
ELI. J JEWELRY,PS20190000616
ELITE GEMS(SINGAPORE),PS20190001080
ELITE MINERALS & GEMS PTE. LTD.,PS20190000886
ELITE ORNAMENTS PTE. LTD.,PS20190001161
ELITE THAI AMULETS,PS20190000755
ELLIOTT & CARMEN FINE JEWELLERY GROUP LLP,PS20190000343
ELLIOTT AND CARMEN INTERNATIONAL LLP,PS20190000345
ELLIOTT AND CARMEN PTE. LTD.,PS20190000448
ELMS INDUSTRIAL PTE LTD,PS20190001408
ELOI PTE. LTD.,PS20190001775
ELUXZ,PS20190000154
ELVERD PTE. LTD.,PS20190001682
EMBRACE JEWELLERY,PS20190001559
EMHA DIAMOND PTE LTD,PS20190000759
EMILY TAN PTE. LTD.,PS20190000004
EMPEROR WATCH & JEWELLERY (SINGAPORE) PTE. LTD.,PS20190001366
EMPHASIS GOLD PTE. LTD.,PS20190001764
EMPHASIS GROUP,PS20190000371
EMPIRE TREASURES PTE LTD,PS20190000742
ENERGY HEALTH & BEAUTY GEM PTE. LTD.,PS20190001466
ENG TAI JEWELLERY TRADING COMPANY,PS20190001136
ENSHINE JEWELLERY PTE LTD,PS20190000850
ENVIRONMENTAL SOLUTIONS (ASIA) PTE LTD,PS20190001373
ENVY JEWELLERY PRIVATE LIMITED,PS20190000962
ES TRADE & INVESTMENT PTE. LTD.,PS20190001415
ESCADA INTERNATIONAL,PS20190001646
ESSENCE 'N ACCENTS PTE. LTD.,PS20190001616
ESTEEMLINK TRADING PTE. LTD.,PS20190001085
ESUN INTERNATIONAL PTE. LTD.,PS20190001385
EU & CO JEWELLERY PTE. LTD.,PS20190001396
EURASIA DIAMAC (S) PRIVATE LIMITED,PS20190000851
EVA GEMS PTE. LTD.,PS20190001356
EVEREST GOLD PTE. LTD.,PS20190001500
EVEREST JEWELLERY,PS20190000654
EVERGOLD JEWELLERY,PS20190001759
EVERGRANDE TRADING (S) LLP,PS20190000965
EVE'S DIAMOND,PS20190001760
EVNI'S GEMS PTE. LTD.,PS20190000748
EWORKS GLOBAL TECH PTE. LTD.,PS20190000932
EXCEL WATCH CENTER,PS20190000997
EXOTIC GEMS & JEWELLERY PTE LTD,PS20190000905
EXQUISITES JEWELS PTE. LTD.,PS20190000391
FA CHAI JEWELLERS PTE LTD,PS20190000150
FABULOUS DIAMONDS (S) PTE. LTD.,PS20190000053
FACETS SINGAPORE PTE. LTD.,PS20190000486
FAHUNA TRADERS,PS20190001715
FAI JEWELLERY TRADING,PS20190001046
FAMOSI SINGAPORE PTE LTD,PS20190000757
FANG ZHENG TRADING,PS20190000764
FAR EAST GEMS & JEWELLERY,PS20190001249
FAR EAST GEMS IMPORT,PS20190001250
FARA INTERNATIONAL HOLDING,PS20190001617
FASHION PALS PTE. LTD.,PS20190001534
FAT ANVIL STUDIOS,PS20190001246
FATHIMA GEMS & JEWELLERY PTE. LTD.,PS20190000882
